country,Crop Type,Season,Yield Percentage,Year,Water Levels,Temperature
"Congo, Democratic Republic of the",Sugar Cane,Summer,10.27,2020,82.73,51.4
Uzbekistan,Maze,Fall,68.33,2020,82.78,38.23
Kenya,Apples,Rainy Season,75.83,2020,70.81,63.61
South Africa,Sugar Cane,Summer,51.16,2020,17.89,37.83
Vietnam,Wheat,Summer,14.13,2022,12.84,22.12
Norway,Wheat,Winter,65.1,2021,68.22,40.51
Gabon,Apples,Spring,78.13,2020,34.68,76.75
Saint Vincent and the Grenadines,Cotton,Winter,53.98,2020,67.88,29.43
El Salvador,Apples,Spring,58.61,2020,71.89,76.52
Slovenia,Maze,Spring,25.08,2020,27.56,55.44
Uzbekistan,Cotton,Fall,91.55,2022,86.89,48.65
Eritrea,Sugar Cane,Rainy Season,68.65,2022,37.93,74.01
Slovakia,Paddy,Fall,57.16,2022,78.0,70.12
Vietnam,Apples,Fall,26.86,2021,80.12,20.05
Egypt,Cotton,Winter,14.28,2021,20.39,93.13
Nauru,Wheat,Summer,87.15,2021,30.89,33.14
Namibia,Plam Oil,Winter,50.89,2020,38.6,45.8
Estonia,Paddy,Winter,52.98,2021,92.18,48.28
Algeria,Paddy,Rainy Season,61.43,2020,23.0,42.76
Australia,Maze,Winter,90.25,2021,66.19,55.49
Nigeria,Wheat,Spring,44.44,2020,52.55,91.45
Uganda,Maze,Summer,57.45,2022,92.64,90.69
Solomon Islands,Plam Oil,Spring,61.27,2020,57.67,40.47
Japan,Paddy,Spring,55.31,2021,42.07,58.83
Niger,Apples,Fall,71.36,2021,25.52,90.54
Sweden,Plam Oil,Winter,50.22,2020,62.55,19.88
Burundi,Paddy,Spring,76.02,2020,27.19,24.49
Togo,Sugar Cane,Winter,34.92,2022,72.48,48.65
Algeria,Plam Oil,Summer,92.95,2020,49.7,69.1
Pakistan,Plam Oil,Winter,47.49,2022,28.7,43.34
Serbia,Paddy,Winter,40.71,2021,41.93,58.07
Djibouti,Apples,Rainy Season,35.99,2020,33.43,13.58
Belgium,Wheat,Winter,54.6,2021,49.62,20.04
Benin,Paddy,Spring,37.88,2020,91.96,62.27
Philippines,Apples,Spring,74.29,2022,35.84,87.72
Senegal,Maze,Rainy Season,64.8,2022,90.26,88.56
Slovenia,Wheat,Winter,91.73,2020,54.48,46.93
Panama,Sugar Cane,Rainy Season,28.04,2022,78.82,52.64
Montenegro,Plam Oil,Winter,45.77,2022,88.63,28.34
Mauritius,Paddy,Fall,43.83,2021,42.89,13.42
Montenegro,Wheat,Fall,74.74,2020,11.79,71.22
Panama,Plam Oil,Fall,69.33,2021,41.93,28.09
Oman,Apples,Rainy Season,17.83,2020,42.17,23.49
"Micronesia, Federated States of",Paddy,Spring,36.74,2022,58.04,13.17
Bangladesh,Wheat,Winter,65.49,2022,78.05,59.58
Laos,Cotton,Summer,90.35,2020,75.57,48.9
Mexico,Sugar Cane,Winter,41.63,2021,34.31,81.39
Paraguay,Wheat,Spring,38.21,2021,19.77,58.86
Georgia,Plam Oil,Fall,53.23,2022,33.3,25.13
Sao Tome and Principe,Apples,Winter,41.82,2021,35.71,38.31
Slovenia,Apples,Spring,73.46,2021,12.44,28.0
United Arab Emirates,Paddy,Fall,63.4,2021,27.96,19.35
Sierra Leone,Sugar Cane,Rainy Season,22.57,2022,22.0,52.46
Algeria,Cotton,Winter,54.34,2020,39.13,76.24
Mexico,Maze,Winter,12.3,2022,62.18,32.95
Tunisia,Paddy,Fall,32.11,2022,21.52,56.58
New Zealand,Paddy,Rainy Season,58.17,2022,15.53,12.16
Argentina,Wheat,Fall,37.94,2020,53.08,21.22
Sri Lanka,Sugar Cane,Summer,72.37,2022,11.95,23.64
Dominican Republic,Wheat,Winter,43.77,2022,51.35,54.97
Slovakia,Paddy,Summer,39.6,2022,88.19,27.01
Dominica,Sugar Cane,Fall,12.71,2022,19.3,35.69
Haiti,Apples,Summer,37.57,2022,22.04,45.87
Liechtenstein,Plam Oil,Fall,87.48,2020,49.19,17.76
East Timor (Timor-Leste),Maze,Spring,37.93,2020,44.66,42.6
Burundi,Paddy,Summer,92.44,2022,31.57,40.92
Suriname,Sugar Cane,Spring,56.74,2021,47.37,53.82
Singapore,Apples,Winter,48.08,2021,15.87,24.5
Lesotho,Wheat,Rainy Season,85.35,2020,69.93,86.36
Iran,Apples,Summer,51.86,2022,36.05,56.52
Vanuatu,Sugar Cane,Summer,37.39,2020,28.73,20.63
Honduras,Maze,Summer,66.5,2020,32.44,76.73
Belarus,Maze,Rainy Season,74.89,2022,80.3,58.52
Bosnia and Herzegovina,Plam Oil,Rainy Season,41.63,2021,63.06,89.19
United Kingdom,Wheat,Fall,89.73,2020,64.51,49.3
Peru,Sugar Cane,Fall,22.37,2022,51.32,68.56
Bulgaria,Paddy,Fall,36.2,2022,86.48,39.01
Hungary,Sugar Cane,Spring,83.54,2021,13.49,84.67
Algeria,Plam Oil,Spring,18.89,2021,73.14,52.56
Bosnia and Herzegovina,Wheat,Winter,44.2,2020,15.9,15.64
Taiwan,Paddy,Summer,32.43,2020,32.95,17.99
Senegal,Cotton,Summer,60.84,2020,25.08,61.36
Turkey,Wheat,Summer,24.86,2021,15.01,59.7
Germany,Wheat,Rainy Season,61.6,2020,15.82,38.75
Vietnam,Maze,Summer,24.65,2021,34.74,48.35
Turkmenistan,Sugar Cane,Fall,71.17,2021,24.41,61.63
Indonesia,Maze,Summer,53.08,2021,34.49,67.36
Belize,Paddy,Rainy Season,44.68,2021,72.43,11.73
Iraq,Wheat,Summer,84.7,2022,13.06,28.92
Oman,Maze,Spring,43.01,2020,27.71,79.9
Saint Lucia,Maze,Fall,89.13,2020,40.26,47.4
South Africa,Apples,Fall,81.26,2021,86.96,34.47
Myanmar (Burma),Apples,Spring,27.96,2021,46.99,67.67
Saint Vincent and the Grenadines,Apples,Winter,33.89,2022,62.9,69.14
Sweden,Wheat,Winter,15.1,2020,89.05,76.37
Ethiopia,Apples,Spring,75.83,2020,17.65,51.72
Switzerland,Plam Oil,Spring,92.46,2022,24.38,92.96
Bhutan,Maze,Fall,75.46,2021,54.64,93.19
Bahrain,Plam Oil,Rainy Season,14.51,2021,28.14,25.89
Guinea,Sugar Cane,Summer,55.87,2020,76.47,53.6
Suriname,Apples,Summer,40.25,2022,40.12,19.82
Bosnia and Herzegovina,Sugar Cane,Summer,75.0,2022,93.0,19.32
Sri Lanka,Cotton,Fall,54.29,2022,81.81,52.7
North Macedonia,Plam Oil,Rainy Season,24.09,2022,92.62,81.69
Austria,Wheat,Winter,21.01,2022,81.05,24.87
Sri Lanka,Wheat,Spring,59.12,2021,39.9,51.73
Mozambique,Plam Oil,Winter,69.29,2021,56.45,32.44
New Zealand,Cotton,Rainy Season,48.07,2020,25.71,77.09
Cambodia,Wheat,Rainy Season,67.63,2020,27.95,42.92
Equatorial Guinea,Apples,Fall,73.48,2020,33.44,79.35
Morocco,Maze,Fall,84.34,2020,51.84,70.35
Nepal,Sugar Cane,Rainy Season,83.56,2021,40.17,71.26
Brunei,Sugar Cane,Fall,22.55,2021,33.44,26.91
Bulgaria,Sugar Cane,Rainy Season,24.52,2020,90.93,49.71
Kyrgyzstan,Plam Oil,Rainy Season,73.94,2020,21.87,38.6
Russia,Sugar Cane,Rainy Season,29.76,2021,51.75,54.15
Brazil,Cotton,Winter,15.17,2021,81.64,59.88
Kazakhstan,Plam Oil,Rainy Season,54.54,2022,21.89,27.63
Sweden,Apples,Rainy Season,46.37,2020,33.58,86.97
Slovakia,Paddy,Spring,52.49,2020,91.32,71.37
Vanuatu,Cotton,Summer,30.18,2022,43.15,85.84
Uganda,Cotton,Spring,39.64,2022,36.27,13.93
Tajikistan,Paddy,Winter,10.71,2022,79.85,59.34
Saudi Arabia,Plam Oil,Rainy Season,84.27,2021,54.33,46.16
Papua New Guinea,Sugar Cane,Fall,52.21,2022,27.63,45.7
Switzerland,Sugar Cane,Winter,64.36,2020,70.94,35.65
Canada,Wheat,Winter,32.46,2021,23.02,83.31
Guatemala,Apples,Spring,71.62,2022,22.71,84.0
Bhutan,Cotton,Winter,21.03,2020,29.71,12.38
South Africa,Sugar Cane,Fall,23.12,2021,25.62,90.97
"Congo, Democratic Republic of the",Sugar Cane,Rainy Season,19.67,2020,76.66,22.1
Burkina Faso,Cotton,Rainy Season,88.48,2021,44.42,46.82
Venezuela,Wheat,Winter,35.44,2021,56.57,41.32
Serbia,Apples,Summer,22.69,2022,49.24,16.96
Burkina Faso,Apples,Summer,91.85,2020,43.73,78.49
Switzerland,Plam Oil,Spring,57.34,2020,73.38,45.09
Vanuatu,Plam Oil,Spring,35.1,2022,53.83,66.11
Uzbekistan,Cotton,Rainy Season,35.23,2022,68.27,65.55
Haiti,Sugar Cane,Fall,20.31,2021,36.41,79.63
Maldives,Apples,Fall,38.78,2021,13.83,75.67
Qatar,Maze,Fall,36.97,2021,67.96,85.01
Antigua and Barbuda,Wheat,Winter,13.51,2020,36.0,59.3
Jamaica,Maze,Rainy Season,13.9,2022,27.75,35.28
Georgia,Sugar Cane,Rainy Season,42.96,2020,84.85,64.69
Switzerland,Wheat,Spring,39.34,2021,37.25,56.4
Fiji,Wheat,Fall,15.71,2022,55.38,91.04
Libya,Cotton,Spring,11.23,2020,57.14,88.81
Belarus,Plam Oil,Rainy Season,42.82,2022,15.53,62.58
Cabo Verde,Paddy,Rainy Season,40.13,2020,65.67,64.68
Italy,Sugar Cane,Summer,14.83,2020,22.23,31.29
Ireland,Wheat,Rainy Season,44.2,2022,29.16,65.36
Benin,Apples,Spring,85.74,2020,46.9,10.55
Uruguay,Plam Oil,Fall,57.48,2020,19.01,51.05
Solomon Islands,Apples,Fall,70.03,2021,73.12,76.82
Armenia,Wheat,Spring,79.49,2022,64.52,23.93
Vanuatu,Sugar Cane,Spring,28.78,2021,80.86,78.47
Iceland,Cotton,Winter,23.2,2021,82.49,87.4
Niger,Apples,Summer,12.04,2021,84.04,81.64
Cambodia,Wheat,Summer,46.26,2022,41.6,43.45
Samoa,Apples,Spring,76.66,2020,33.28,89.34
Kiribati,Sugar Cane,Summer,78.67,2020,37.85,13.93
Singapore,Maze,Summer,25.77,2021,62.43,87.71
Bolivia,Wheat,Winter,61.44,2021,27.38,22.09
Namibia,Apples,Fall,37.78,2021,17.75,28.47
Ukraine,Sugar Cane,Spring,43.98,2021,77.03,87.53
Philippines,Sugar Cane,Winter,67.64,2020,75.54,38.25
Russia,Paddy,Spring,55.07,2022,64.05,64.01
Monaco,Cotton,Fall,45.17,2022,64.08,76.0
Antigua and Barbuda,Cotton,Spring,25.3,2021,59.19,23.44
Bulgaria,Wheat,Rainy Season,29.26,2022,17.7,85.26
Samoa,Plam Oil,Rainy Season,67.08,2020,86.58,16.25
Somalia,Sugar Cane,Summer,85.84,2021,22.6,77.31
"Korea, North",Wheat,Fall,19.47,2020,82.07,31.78
Jamaica,Sugar Cane,Rainy Season,48.41,2021,16.15,10.25
Bulgaria,Sugar Cane,Summer,13.08,2022,35.28,19.11
Kenya,Sugar Cane,Fall,35.64,2022,65.76,74.92
Oman,Cotton,Winter,92.42,2021,89.72,46.52
Brazil,Cotton,Rainy Season,56.75,2022,92.78,75.13
Costa Rica,Wheat,Summer,41.88,2021,55.85,54.26
Saint Vincent and the Grenadines,Paddy,Winter,40.49,2022,48.81,16.32
Greece,Sugar Cane,Winter,76.07,2020,27.9,47.53
Guinea-Bissau,Apples,Rainy Season,79.48,2020,75.01,45.49
San Marino,Apples,Fall,28.79,2020,57.47,23.18
Nepal,Paddy,Rainy Season,35.91,2020,15.31,68.11
Yemen,Paddy,Spring,13.07,2021,17.38,43.34
India,Sugar Cane,Winter,85.17,2022,73.68,56.92
United Kingdom,Cotton,Winter,26.6,2020,65.25,17.81
Venezuela,Wheat,Winter,14.06,2022,85.21,32.34
Latvia,Apples,Spring,35.39,2020,76.77,12.39
Gabon,Apples,Fall,83.65,2022,85.85,24.84
Singapore,Cotton,Fall,51.15,2021,17.71,81.88
Liechtenstein,Plam Oil,Rainy Season,91.82,2021,38.9,91.25
Grenada,Wheat,Winter,43.75,2022,65.46,64.57
Denmark,Apples,Rainy Season,80.16,2020,48.14,89.58
Iran,Cotton,Winter,75.67,2021,79.72,17.64
Tuvalu,Cotton,Spring,55.72,2022,79.99,82.98
Oman,Maze,Winter,38.45,2020,42.16,27.71
Morocco,Paddy,Spring,57.55,2022,27.81,15.18
Trinidad and Tobago,Cotton,Spring,22.54,2022,85.17,54.02
France,Paddy,Winter,19.67,2021,30.67,59.92
"Korea, South",Wheat,Spring,21.15,2021,59.57,30.78
Tuvalu,Paddy,Rainy Season,36.84,2021,82.22,44.73
Namibia,Apples,Winter,10.41,2022,85.05,43.36
Honduras,Plam Oil,Spring,33.07,2020,20.84,79.81
San Marino,Plam Oil,Winter,70.92,2020,70.59,21.62
Denmark,Sugar Cane,Winter,59.86,2021,10.48,82.55
North Macedonia,Plam Oil,Fall,25.86,2020,51.93,71.47
Djibouti,Plam Oil,Winter,55.04,2022,18.34,72.35
Burkina Faso,Maze,Winter,31.63,2020,63.65,27.4
Suriname,Plam Oil,Rainy Season,22.62,2020,14.76,17.66
United States,Apples,Rainy Season,50.25,2020,18.88,18.35
Moldova,Apples,Spring,28.04,2020,70.75,43.93
Liberia,Plam Oil,Rainy Season,23.08,2020,36.52,50.91
Antigua and Barbuda,Cotton,Summer,22.5,2021,67.69,16.16
Bosnia and Herzegovina,Apples,Summer,41.31,2021,72.55,36.92
Finland,Wheat,Rainy Season,57.71,2022,46.72,85.11
Afghanistan,Maze,Fall,87.61,2020,47.21,32.66
"Micronesia, Federated States of",Paddy,Fall,88.48,2021,59.69,33.96
Bulgaria,Wheat,Spring,71.84,2021,92.45,55.9
Yemen,Cotton,Fall,47.13,2020,68.32,10.55
Niger,Apples,Winter,59.55,2022,74.69,24.86
Seychelles,Wheat,Spring,39.96,2022,35.14,11.81
Albania,Maze,Rainy Season,23.75,2020,69.93,77.45
"Micronesia, Federated States of",Plam Oil,Rainy Season,41.72,2022,34.79,47.02
Portugal,Maze,Winter,72.51,2020,43.06,13.85
Côte d’Ivoire,Wheat,Fall,12.29,2021,83.76,69.13
Thailand,Sugar Cane,Rainy Season,13.39,2022,38.24,67.25
United Arab Emirates,Apples,Rainy Season,53.45,2021,45.07,23.79
Croatia,Plam Oil,Fall,87.23,2021,15.18,71.14
Sri Lanka,Apples,Summer,16.72,2021,11.02,31.76
France,Sugar Cane,Spring,26.54,2020,16.39,28.2
Taiwan,Plam Oil,Spring,30.78,2021,65.22,27.28
Burundi,Apples,Spring,44.14,2021,83.79,25.8
Latvia,Paddy,Fall,10.54,2020,39.14,34.18
Tuvalu,Sugar Cane,Rainy Season,47.31,2020,28.39,26.11
Czech Republic,Maze,Winter,51.17,2020,93.12,84.47
Kosovo,Paddy,Winter,70.72,2020,56.96,24.29
Mauritania,Paddy,Winter,74.21,2021,88.64,86.89
Afghanistan,Maze,Rainy Season,39.16,2020,35.81,69.99
India,Apples,Rainy Season,75.65,2021,38.23,37.94
San Marino,Sugar Cane,Summer,56.35,2021,28.42,73.0
Hungary,Wheat,Summer,15.45,2021,83.0,47.05
United States,Sugar Cane,Rainy Season,36.07,2020,48.79,77.88
East Timor (Timor-Leste),Paddy,Winter,91.4,2022,13.42,49.18
Central African Republic,Paddy,Rainy Season,78.34,2020,83.61,81.74
United Arab Emirates,Cotton,Fall,65.27,2020,76.87,52.2
Dominica,Paddy,Winter,23.82,2020,63.88,53.39
The Bahamas,Plam Oil,Summer,30.02,2021,79.52,45.45
Kiribati,Apples,Summer,45.5,2020,85.84,23.8
Montenegro,Cotton,Summer,43.28,2021,33.64,47.09
Chad,Maze,Rainy Season,70.24,2021,63.25,29.15
Equatorial Guinea,Wheat,Rainy Season,53.43,2021,61.89,67.87
Cambodia,Sugar Cane,Summer,73.37,2020,90.23,85.76
Netherlands,Cotton,Summer,49.98,2022,51.22,76.4
India,Apples,Spring,67.22,2022,14.49,34.18
Australia,Wheat,Spring,56.16,2021,73.57,62.11
Ecuador,Paddy,Spring,11.15,2020,36.28,62.79
Peru,Paddy,Fall,63.89,2021,63.54,65.16
Haiti,Cotton,Fall,59.32,2022,12.2,29.58
Panama,Cotton,Rainy Season,91.96,2020,73.79,91.32
Belgium,Maze,Summer,80.13,2020,37.52,21.84
Russia,Wheat,Fall,71.51,2020,42.46,35.26
Morocco,Apples,Winter,92.91,2021,68.45,75.94
Mozambique,Apples,Winter,86.08,2022,65.44,18.23
Dominica,Sugar Cane,Summer,88.94,2020,39.8,83.93
Sudan,Cotton,Fall,62.08,2021,44.39,32.73
Tonga,Apples,Winter,59.84,2021,72.79,70.41
Azerbaijan,Sugar Cane,Winter,59.56,2020,68.59,72.63
Hungary,Paddy,Spring,59.28,2020,66.82,30.6
Cameroon,Cotton,Summer,14.31,2022,17.86,45.3
Slovakia,Paddy,Summer,68.97,2021,37.77,81.67
Central African Republic,Paddy,Fall,19.96,2022,25.54,79.71
Guyana,Wheat,Fall,57.44,2020,88.86,72.13
Mongolia,Sugar Cane,Spring,62.07,2020,87.45,91.36
Guatemala,Paddy,Rainy Season,86.06,2021,49.3,68.58
Maldives,Cotton,Spring,24.12,2020,57.86,59.39
Pakistan,Apples,Spring,31.11,2020,74.6,70.67
Angola,Plam Oil,Spring,19.14,2021,63.62,52.19
Russia,Apples,Fall,79.6,2022,93.06,32.66
Côte d’Ivoire,Apples,Fall,46.45,2022,51.12,87.1
Mauritania,Apples,Spring,21.41,2021,28.97,87.05
Libya,Plam Oil,Winter,26.56,2022,25.26,64.71
Tonga,Maze,Rainy Season,85.24,2020,89.21,38.75
Guyana,Cotton,Winter,47.08,2022,67.07,65.38
Solomon Islands,Cotton,Rainy Season,70.34,2021,58.69,65.4
Saint Kitts and Nevis,Apples,Rainy Season,29.84,2021,92.47,73.1
Uruguay,Cotton,Fall,31.19,2020,51.65,30.9
Venezuela,Sugar Cane,Winter,70.31,2020,30.74,42.89
Uganda,Cotton,Fall,28.27,2022,33.64,36.69
Vatican City,Plam Oil,Summer,17.44,2020,58.32,40.69
Eritrea,Maze,Fall,81.47,2022,89.67,77.96
"Korea, North",Plam Oil,Winter,41.32,2021,74.28,63.9
Liberia,Paddy,Fall,54.89,2021,21.42,15.18
Madagascar,Plam Oil,Winter,25.19,2020,54.5,61.24
Bulgaria,Maze,Winter,22.19,2022,86.53,30.11
Tanzania,Maze,Winter,54.13,2022,69.29,69.87
Colombia,Apples,Spring,66.79,2021,45.75,12.45
Vatican City,Cotton,Fall,65.47,2020,56.58,45.54
Bhutan,Wheat,Fall,30.43,2021,42.77,59.94
Malaysia,Sugar Cane,Summer,78.38,2020,35.92,49.97
Czech Republic,Cotton,Summer,75.24,2021,47.98,86.55
Portugal,Wheat,Rainy Season,90.02,2021,88.22,86.14
Tunisia,Maze,Winter,73.25,2022,86.2,85.12
Taiwan,Plam Oil,Spring,26.2,2021,77.41,66.45
Taiwan,Cotton,Spring,81.82,2022,25.33,13.56
Italy,Maze,Rainy Season,72.05,2021,39.99,59.02
Estonia,Maze,Rainy Season,43.75,2020,28.84,76.78
United Arab Emirates,Sugar Cane,Summer,86.55,2020,32.18,79.21
Jordan,Plam Oil,Winter,60.35,2022,76.63,90.31
Azerbaijan,Sugar Cane,Spring,33.2,2021,54.55,16.28
Venezuela,Sugar Cane,Spring,59.91,2021,27.56,19.85
Argentina,Apples,Fall,44.94,2022,13.82,85.26
Georgia,Wheat,Winter,66.04,2021,16.14,68.48
Armenia,Plam Oil,Summer,68.22,2020,76.52,60.33
Cameroon,Sugar Cane,Winter,11.27,2022,88.48,16.0
Seychelles,Cotton,Summer,23.48,2021,86.7,76.47
Canada,Cotton,Winter,18.56,2022,71.09,85.85
Russia,Sugar Cane,Spring,83.32,2021,52.57,86.68
Benin,Sugar Cane,Winter,44.32,2021,79.31,84.03
Uruguay,Maze,Fall,67.68,2022,77.01,11.13
Kenya,Wheat,Rainy Season,40.57,2020,57.96,37.73
"Congo, Democratic Republic of the",Maze,Spring,82.64,2021,19.85,19.09
Uzbekistan,Wheat,Fall,49.17,2021,72.11,16.48
Argentina,Paddy,Winter,86.9,2021,36.59,37.59
Somalia,Apples,Rainy Season,43.81,2021,28.59,17.49
Australia,Maze,Fall,46.9,2020,38.29,67.9
Portugal,Maze,Spring,88.03,2022,55.41,80.33
Spain,Plam Oil,Summer,64.14,2021,83.33,33.43
"Micronesia, Federated States of",Wheat,Spring,44.47,2020,46.08,42.47
Uzbekistan,Paddy,Winter,28.88,2020,68.33,40.68
Honduras,Sugar Cane,Winter,44.09,2021,15.3,21.76
Cabo Verde,Maze,Fall,44.33,2021,25.51,88.56
Tanzania,Plam Oil,Summer,68.71,2021,45.34,85.99
Mauritania,Sugar Cane,Fall,59.27,2021,40.09,76.29
North Macedonia,Cotton,Winter,43.87,2021,45.49,76.5
Saint Kitts and Nevis,Maze,Fall,67.03,2021,15.13,31.27
Mexico,Cotton,Summer,77.84,2020,36.35,38.16
Cameroon,Wheat,Winter,60.97,2021,26.12,80.24
Cyprus,Maze,Winter,77.81,2020,18.16,11.79
Slovakia,Paddy,Rainy Season,53.18,2022,70.18,87.4
Vanuatu,Plam Oil,Spring,36.32,2021,82.44,76.11
Turkmenistan,Cotton,Fall,21.65,2020,67.75,28.27
Peru,Sugar Cane,Spring,65.02,2020,52.51,13.98
Brunei,Wheat,Spring,74.85,2020,70.88,68.8
Cuba,Apples,Fall,70.01,2022,12.38,61.56
Syria,Apples,Rainy Season,73.7,2021,88.66,39.81
Lesotho,Wheat,Spring,91.53,2021,61.69,46.59
Lesotho,Plam Oil,Rainy Season,15.76,2021,92.51,44.02
United Arab Emirates,Maze,Fall,25.61,2020,16.48,64.95
Hungary,Paddy,Rainy Season,81.49,2020,51.28,19.47
Germany,Sugar Cane,Rainy Season,11.18,2021,82.09,54.26
Kenya,Wheat,Summer,21.22,2022,43.04,24.62
Djibouti,Wheat,Summer,80.0,2020,45.93,35.22
Bulgaria,Paddy,Fall,18.64,2020,57.73,29.1
Myanmar (Burma),Wheat,Fall,87.72,2022,91.85,50.67
Fiji,Wheat,Winter,65.97,2021,89.07,39.65
Bangladesh,Maze,Spring,33.45,2022,78.88,21.46
Mauritius,Apples,Summer,73.78,2022,22.17,21.9
"Congo, Democratic Republic of the",Plam Oil,Spring,35.9,2020,21.57,63.94
Belarus,Cotton,Rainy Season,10.69,2022,84.76,14.02
Kenya,Paddy,Rainy Season,77.83,2022,89.88,61.47
"Sudan, South",Plam Oil,Rainy Season,36.63,2021,50.03,43.79
Tuvalu,Sugar Cane,Rainy Season,59.73,2020,49.07,24.9
Nicaragua,Plam Oil,Rainy Season,46.08,2022,28.78,87.72
Saint Vincent and the Grenadines,Wheat,Rainy Season,25.56,2020,14.01,19.89
Albania,Plam Oil,Summer,17.26,2022,30.66,54.24
Tajikistan,Paddy,Spring,12.07,2020,77.2,70.51
Bangladesh,Cotton,Fall,34.44,2022,66.82,40.45
Argentina,Apples,Fall,26.13,2020,41.91,49.69
Armenia,Plam Oil,Fall,66.26,2022,71.46,13.54
San Marino,Sugar Cane,Winter,73.95,2022,54.68,65.77
Oman,Plam Oil,Fall,35.03,2022,28.09,37.17
Saint Lucia,Wheat,Fall,58.27,2022,11.85,24.59
United Arab Emirates,Apples,Summer,19.19,2020,57.94,40.14
Kiribati,Paddy,Fall,48.37,2020,35.16,60.06
Vanuatu,Apples,Fall,70.14,2021,56.68,87.02
Japan,Cotton,Fall,28.32,2020,91.5,13.08
Palau,Plam Oil,Summer,34.84,2022,90.8,56.36
Belgium,Paddy,Winter,86.43,2020,41.43,78.44
Nicaragua,Maze,Rainy Season,37.98,2021,93.18,16.77
Bulgaria,Apples,Summer,81.64,2022,77.37,57.76
France,Paddy,Winter,20.59,2022,19.66,19.11
El Salvador,Cotton,Fall,15.55,2022,15.25,67.88
Liechtenstein,Cotton,Rainy Season,79.78,2020,78.87,78.51
Canada,Maze,Rainy Season,28.83,2020,85.98,88.72
Pakistan,Apples,Rainy Season,91.53,2020,37.88,92.49
Malta,Plam Oil,Fall,54.18,2022,55.05,17.24
Burkina Faso,Sugar Cane,Spring,67.03,2020,89.18,11.4
Japan,Maze,Fall,20.67,2020,63.8,77.86
Namibia,Plam Oil,Rainy Season,56.8,2022,62.73,17.22
Guatemala,Cotton,Rainy Season,23.43,2020,30.11,59.52
Denmark,Paddy,Rainy Season,16.22,2020,56.79,19.56
Ethiopia,Plam Oil,Fall,67.01,2022,82.53,64.7
Luxembourg,Plam Oil,Winter,29.59,2022,38.85,91.43
Maldives,Apples,Winter,63.46,2020,71.18,85.89
Qatar,Cotton,Summer,47.39,2022,44.37,89.51
"Micronesia, Federated States of",Maze,Fall,40.53,2022,35.28,19.47
Malta,Plam Oil,Spring,58.7,2022,82.08,79.56
Russia,Wheat,Rainy Season,33.37,2021,78.6,48.59
The Bahamas,Paddy,Fall,63.01,2020,19.78,42.01
South Africa,Paddy,Fall,16.41,2022,36.08,32.49
East Timor (Timor-Leste),Apples,Winter,52.91,2021,63.34,28.2
Kyrgyzstan,Wheat,Winter,73.81,2022,68.74,84.1
Fiji,Sugar Cane,Winter,56.89,2020,47.69,89.72
Afghanistan,Maze,Rainy Season,50.09,2022,40.91,73.93
Mauritius,Maze,Summer,71.04,2022,18.46,68.87
Pakistan,Wheat,Rainy Season,31.21,2020,30.0,65.23
"Sudan, South",Paddy,Fall,75.5,2022,33.93,60.8
"Congo, Republic of the",Paddy,Fall,16.26,2020,74.74,28.53
Suriname,Cotton,Winter,42.5,2022,41.12,17.1
Germany,Plam Oil,Rainy Season,36.85,2020,58.75,93.14
Haiti,Sugar Cane,Rainy Season,82.04,2021,73.82,76.78
Equatorial Guinea,Apples,Rainy Season,63.4,2021,26.24,54.63
Senegal,Wheat,Fall,73.49,2022,13.58,14.75
Estonia,Wheat,Rainy Season,76.57,2022,17.76,64.32
Somalia,Paddy,Spring,39.54,2021,45.05,74.1
Armenia,Wheat,Winter,79.42,2020,12.9,35.97
Monaco,Wheat,Rainy Season,93.2,2022,10.61,43.91
Colombia,Sugar Cane,Spring,23.12,2021,59.87,20.04
Latvia,Sugar Cane,Rainy Season,76.12,2022,75.35,35.48
Indonesia,Apples,Rainy Season,59.59,2021,20.57,36.11
Dominica,Paddy,Rainy Season,58.54,2022,49.39,27.12
Colombia,Sugar Cane,Rainy Season,21.47,2020,56.85,47.96
Nepal,Apples,Spring,86.87,2022,88.22,23.79
Syria,Sugar Cane,Rainy Season,82.6,2020,31.14,38.52
Jamaica,Wheat,Rainy Season,43.86,2022,16.06,43.2
Grenada,Apples,Winter,11.33,2021,91.88,68.9
Mongolia,Sugar Cane,Spring,42.62,2021,47.94,31.42
Lesotho,Maze,Rainy Season,37.97,2021,44.17,35.88
Germany,Paddy,Summer,60.83,2020,37.37,32.0
"Korea, South",Apples,Winter,85.13,2022,84.58,53.83
Bosnia and Herzegovina,Plam Oil,Rainy Season,90.14,2021,53.08,56.22
Bolivia,Paddy,Rainy Season,77.65,2021,78.26,41.23
Myanmar (Burma),Wheat,Winter,26.17,2020,17.68,54.7
Nigeria,Cotton,Spring,13.7,2020,12.76,55.02
Senegal,Plam Oil,Fall,29.08,2021,91.24,85.03
Seychelles,Wheat,Fall,36.0,2021,78.59,89.48
Syria,Maze,Winter,12.14,2022,88.24,84.89
Indonesia,Apples,Rainy Season,88.32,2020,74.77,71.94
Grenada,Paddy,Rainy Season,60.84,2022,86.54,85.51
Chad,Maze,Winter,81.78,2022,32.86,35.53
Tunisia,Apples,Summer,56.59,2022,78.03,74.54
Mali,Plam Oil,Winter,42.03,2020,75.82,17.31
Papua New Guinea,Apples,Rainy Season,10.3,2021,24.48,22.05
